-0.94725,0.54015,-0.2166,1.189,1.317
-0.40563,-0.44491,1.3284,0.8338,0.60445
-0.10667,0.0030153,0.45711,0.92172,-0.19734
0.075503,0.0088869,0.83883,-0.54241,0.56757
-2.8197,-0.21363,1.1732,0.44038,-0.32973
1.2326,-0.54268,0.19447,1.2253,-0.38651
0.33185,-1.1575,0.60244,0.54311,-0.69678
1.8696,-0.2091,0.47859,-3.217,-1.1963
-2.4047,0.9132,0.58356,0.090667,-1.0281
0.17461,-0.70305,0.010189,-0.54386,0.41334
0.12119,1.2321,0.38397,1.313,0.74721
1.4561,-0.88638,0.33162,-0.020313,-1.5516
-0.49992,-1.565,-0.099332,1.1337,-1.3825
-1.8595,0.88445,0.21752,-0.057828,-0.2638
-0.36528,1.584,-0.5241,0.13585,-0.35225
0.37867,1.3356,0.23549,0.37491,-1.9138
0.9615,0.9896,0.65331,-0.16957,-0.65068
0.11554,0.078335,0.4186,-0.06492,0.01082
0.083559,0.65576,-0.84467,0.47928,1.6176
0.23614,1.5375,0.10512,2.5723,-1.4564
-0.56546,0.20862,-2.0503,2.0486,-0.31721
-1.1609,-0.11029,2.2752,1.3241,-0.94974
-0.46878,-1.2348,0.68642,0.92829,0.91408
1.1746,0.3912,0.26189,-1.1304,-0.97686
-0.35139,0.52522,-1.4223,-1.241,-0.62551
0.18872,1.2467,-0.63948,-2.0162,-1.525
0.45868,-0.29715,0.12908,-1.388,1.4666
1.5774,0.18886,-1.5135,-0.43883,1.2897
-0.71167,0.2425,-1.3137,1.266,0.41805
-0.5465,-1.4462,0.53141,0.7499,0.19627
1.0439,0.43388,0.20256,-1.0824,1.551
1.4193,1.0719,0.15964,-0.032732,1.0892
-0.3483,-0.62058,1.0408,-0.21334,0.65208
-0.28028,0.95908,1.1895,0.63477,0.38034
-0.0081708,0.94059,0.81785,-0.29539,-1.5238
-0.34263,0.83027,-0.13795,-0.31962,0.71288
-1.1887,-1.3434,0.74741,-1.2755,-0.34253
0.14882,-1.2621,1.2422,0.36392,0.50769
2.1051,0.35096,1.2466,0.95027,0.72233
-2.2129,-0.15739,-0.61651,-0.7457,-0.66083
1.2421,0.039584,0.49016,0.3547,-0.13679
-0.099748,-0.16618,-0.030267,2.4642,-0.42738
-2.4492,1.2048,0.52308,-0.31151,0.49741
-0.43657,-0.88964,-1.121,-0.38787,-0.89078
0.35263,1.8686,2.0326,-0.19346,-0.53088
-0.42327,0.90074,0.4087,-0.13615,-1.4149
-1.0134,0.41937,-1.0553,-1.277,-0.92106
0.17893,-2.9437,0.83003,-0.5089,2.0241
0.19947,-2.0537,0.3028,0.59938,-0.3227
0.35755,0.16028,0.2449,0.67066,0.72109
-0.27515,0.9156,0.93674,0.83745,0.33594
-0.13006,1.0382,1.0372,-0.53677,0.068457
-0.57557,-1.5172,0.14257,1.066,1.7333
